# "asas_sn_id":12702,"gaia_id":5211052415435948544,"pstarrs_g_mag":13.1350002289,"g_mag_abs":20.6539014276,"name":"VX Men"
jd,flux,flux_err,mag,mag_err,limit,fwhm,cam,asas_sn_id
2458515.6215074,24.371958479654612,0.08916470532447429,12.93283954832211,0.003976625762032669,17.277158164856438,1.44,bi,12702
2458516.6810906,18.7649022581892,0.0729942796545296,13.216699855730505,0.00422819193132303,17.494418543737414,1.37,bi,12702
2458429.7764792,24.117994078966742,0.07243496861599975,12.944212661773491,0.0032645194820656188,17.502769920720457,1.49,bF,12702
2458416.8438102,24.5112558025123,0.13282253132579774,12.926651716435789,0.005890041612787471,16.844461229576435,1.48,bF,12702
2458397.8346756,25.410888129477403,0.0977534739039195,12.887516011703656,0.004181427089093497,17.17731011134928,1.47,bi,12702
2458205.5622139,24.82866323117582,0.11580585832384697,12.91268227757947,0.005069782927445267,16.993314286941064,1.41,bi,12702
2458032.8845513,23.69892402235453,0.119845124477376,12.963244050691769,0.0054967237975211474,16.95608968438829,2.06,bj,12702
2458549.6009112,24.97173040610481,0.08358607733083114,12.906444028139493,0.00363829139606309,17.347305750438597,1.48,bE,12702
2458803.7594962,19.924808032432807,0.12211733474548576,13.151580257696141,0.006661857579904585,16.93569731869809,1.48,bH,12702
2458120.6532145,21.44027460159833,0.22039825699878104,13.071989763807457,0.011173519335750627,16.294620222413013,1.48,bi,12702
2458728.9127837,16.178417024338984,0.1486996312946513,13.377725557649471,0.009990472725036533,16.72186588225056,1.42,bH,12702
2458853.5666174,23.663777788686826,0.0905994220346681,12.96485542605251,0.004161534710381642,17.259827043518225,2.39,bE,12702
2458586.5742729,25.09242404912651,0.10193349546834124,12.901209076577665,0.0044155669243457,17.13184831858157,1.42,bE,12702
2458398.8776153,18.316436303600497,0.08490100933285945,13.24296317223779,0.005038300260321161,17.33035847814427,1.57,bj,12702
2458114.6697042,21.954182790124403,0.06516574308551246,13.046272432749186,0.003226370579033201,17.617592231726505,1.58,bi,12702
2458902.5362545,15.477294641909952,0.10146010206792845,13.425827996397203,0.007125451972751447,17.136902374247548,1.67,bi,12702
2458416.8354476,22.91655338620012,0.19066639033238675,12.99969236979325,0.00904350985750963,16.451955249823552,1.45,bi,12702
2458569.6389653,22.499780212420738,0.06911166435764682,13.01961993289261,0.00333876036088211,17.553762231839965,1.55,bj,12702
2458561.5900406,23.029701361040882,0.11816196158797981,12.994344856626208,0.005577011736106085,16.97144638139834,1.44,bi,12702
2458513.722398,22.371890408630296,0.06698520736920924,13.025808914236789,0.0032545308724524448,17.587693346004755,1.40,bi,12702
2458125.7270211,16.96128022297941,0.10655769581792467,13.326419048943928,0.006828705197256753,17.083678559363012,1.62,bj,12702
2458807.7812279,24.68765643961191,0.11670239894601857,12.918865959790581,0.005138212853344891,16.984941152598896,1.36,bi,12702
2458092.7298114,21.277960479386998,0.09641411957378113,13.080240627486555,0.004925188020721284,17.19228901205992,1.44,bi,12702
2458507.7178582,18.58490992523037,0.13028850276649684,13.227164470886109,0.0076200497263327486,16.865375378096473,1.41,bH,12702
2458501.646252,25.311671400323714,0.0881590771697201,12.891763562826819,0.0037858062537468396,17.28947302286676,1.56,bF,12702
2458460.7938018,22.54782048566937,0.07078095345964809,13.017304200959394,0.003412117771062447,17.527849590106538,1.59,bj,12702
2458441.8301283,21.523089103929564,0.042033677444564446,13.067804113194265,0.0021227798486745434,18.093647143327445,1.53,bF,12702
2458699.9195885,24.916149159939415,0.09308742249069614,12.908863317023329,0.004060899632549559,17.230413098352212,1.39,bi,12702
2458754.8881983,18.247578229409378,0.09040770110935702,13.247052536793378,0.005385330540897663,17.262127046126384,1.58,bj,12702
2458500.7132658,24.655965835273634,0.10629593188907548,12.920260573303947,0.004686048689922949,17.08634900215497,1.51,bE,12702
2458649.4621427,24.633827932545223,0.13256039247226037,12.921235863410418,0.005849167393576687,16.846606158364256,1.50,bF,12702
2458535.5487998,21.493992907153697,0.08048985902282733,13.069272869214014,0.004070392019605022,17.38828769461748,1.56,bj,12702
2458814.6530459,22.031647973136444,0.06296733702739232,13.042448163010471,0.0031065655062173883,17.654852294447306,1.53,bj,12702
2458445.6466406,24.912698532444235,0.17981824333275526,12.909013690607313,0.007845581724664163,16.51555623476196,1.50,bi,12702
2458582.5940842,21.995589054320178,0.05647888554128503,13.044226629480793,0.0027910183640933203,17.772925315201682,1.57,bj,12702
2458488.724556,24.429716571834057,0.08732154069719329,12.93026955124677,0.003885215690899742,17.299837137001447,1.41,bi,12702
2458828.8361953,21.045966479506042,0.13030309045457195,13.092143436407058,0.00672973579570602,16.8652538209817,1.56,bF,12702
2458853.6004726,20.739245406490156,0.06942111040207959,13.108083245736859,0.003638402806801196,17.548911721435626,1.45,bH,12702
2458183.541766,24.616495812795627,0.08708633341081248,12.922000045623372,0.0038453506451567037,17.302765596769348,1.59,bj,12702
2458454.7286852,23.09566672583981,0.06526297531320632,12.991239362334401,0.0030714859842267666,17.615973438400484,1.46,bE,12702
2458782.7957011,22.842394308585718,0.07115510218401422,13.003211561996151,0.0033859192398608563,17.52212549477241,1.41,bi,12702
2458249.5010159,15.56016288733822,0.11189734018993347,13.42003027485405,0.007816598358599595,17.030591202864017,1.54,bj,12702
2458498.6243284,24.70730972129781,0.10446607564597683,12.918001973750982,0.004595809236406147,17.105202410485305,1.44,bi,12702
2458834.8553621,24.15800949031386,0.14551211058214655,12.942412753430395,0.006547117950785889,16.745392761468583,1.39,bi,12702
2458412.7204154,22.379292767446657,0.10308104675757856,13.025449727798781,0.0050066200574411576,17.119693561358616,1.55,bE,12702
2458864.7445583,24.200518831039602,0.11094058302902518,12.940503930157375,0.004982851445906799,17.039914501671515,1.45,bH,12702
2458474.7475042,24.87126579090322,0.15942193069289065,12.910820900561404,0.006967265306547479,16.646270450476838,1.37,bi,12702
2458793.7888116,23.822988674642424,0.07719300083864938,12.95757501158526,0.0035220365018052676,17.433695800853958,1.50,bF,12702
2458605.4843312,21.565469751043654,0.050230468645802585,13.065668315710486,0.0025317480265842924,17.90022253617388,1.45,bE,12702
2458625.4746312,18.25764094429836,0.08620293139007036,13.246453967361544,0.005132034239983715,17.313835525044972,1.67,bj,12702
2458088.6772969,21.73483935901756,0.07219342622762955,13.05717453555102,0.003610383963213322,17.506396477734313,1.48,bi,12702
2458523.605897,21.942154395774185,0.04370188724361346,13.046867455677987,0.0021648763605866396,18.05139013104189,1.45,bE,12702
